,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,rolloff-mean,rolloff-var,bandwidth-mean,bandwidth-var,centroid-mean,centroid-var,rms-mean,rms-var,harmonic-mean,harmonic-var,percpt-mean,percpt-var,zeroCross-mean,zeroCross-var,mel-mean,mel-var,chroma-mean,chroma-var,mfcc1-mean,mfcc1-var,mfcc2-mean,mfcc2-var,mfcc3-mean,mfcc3-var,mfcc4-mean,mfcc4-var,mfcc5-mean,mfcc5-var,mfcc6-mean,mfcc6-var,mfcc7-mean,mfcc7-var,mfcc8-mean,mfcc8-var,mfcc9-mean,mfcc9-var,mfcc10-mean,mfcc10-var,mfcc11-mean,mfcc11-var,mfcc12-mean,mfcc12-var,mfcc13-mean,mfcc13-var,mfcc14-mean,mfcc14-var,mfcc15-mean,mfcc15-var,mfcc16-mean,mfcc16-var,mfcc17-mean,mfcc17-var,mfcc18-mean,mfcc18-var,mfcc19-mean,mfcc19-var,mfcc20-mean,mfcc20-var
13,Sting,Desert Rose,285960,False,1999,62,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989,"rock, pop",4696.392434890794,2041284.151787117,2453.0671719934967,117256.66504622487,2087.421720997833,452256.61892132455,0.24286317825317383,0.0036040369886904955,-6.543872586917132e-06,0.044405050575733185,-9.030824912770186e-06,0.006138581782579422,0.07865684051398338,0.07246994195434113,14.14216136932373,5978.4609375,0.3646681606769562,0.08913727104663849,-51.43475341796875,1919.9415283203125,99.62225341796875,463.2163391113281,4.621461391448975,255.86892700195312,29.707992553710938,133.98239135742188,4.725499629974365,142.61598205566406,16.08783721923828,126.49449920654297,-5.63056755065918,130.88746643066406,13.817476272583008,74.88500213623047,-3.741885185241699,61.008506774902344,13.541031837463379,60.274749755859375,-2.2366065979003906,67.62588500976562,14.928449630737305,70.0660629272461,-3.567838191986084,51.10329055786133,8.688262939453125,51.102867126464844,-4.018234729766846,54.412906646728516,1.4612329006195068,59.20152282714844,-9.6311674118042,49.808895111083984,4.918952941894531,42.98976135253906,-10.709832191467285,63.61204147338867,4.910489559173584,51.408729553222656
14,Melanie C,Never Be The Same Again,294200,False,1999,61,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,"pop, Dance/Electronic",5909.66009842722,2961787.001249422,2721.05185484903,154857.01022686003,2621.761184144146,1073391.2910825934,0.21953436732292175,0.008860777132213116,0.0009232434094883502,0.03528036177158356,0.0017791035352274776,0.012610559351742268,0.10931519274376417,0.09736538137915783,12.664834976196289,8947.0380859375,0.3715156316757202,0.0951458215713501,-83.95352172851562,4120.30419921875,71.96749114990234,792.7686767578125,14.163140296936035,702.9931030273438,24.776342391967773,417.8691101074219,5.071031093597412,269.2409362792969,7.108776569366455,276.665771484375,-10.611271858215332,205.26400756835938,13.731767654418945,195.63186645507812,-3.6674318313598633,176.35520935058594,8.010565757751465,165.39114379882812,-7.859668254852295,106.57172393798828,7.415050983428955,121.33806610107422,-10.283905982971191,129.0811004638672,8.472599983215332,118.08903503417969,-8.18160629272461,108.28296661376953,3.1896190643310547,127.73809051513672,-1.345981478691101,142.6277618408203,4.671998500823975,118.8572006225586,-3.2979743480682373,140.82113647460938,7.440304279327393,120.78013610839844
15,Aaliyah,Try Again,284000,False,2002,53,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02,"hip hop, pop, R&B",5704.965502854102,3637887.5250839875,2663.282815256255,204096.5248941779,2745.490863772121,1262773.5009929214,0.23171505331993103,0.006262487731873989,1.358933423034614e-05,0.03479941561818123,6.732845213264227e-05,0.015814390033483505,0.09945427059712773,0.08956311865712101,13.101280212402344,8065.49462890625,0.4029269218444824,0.09649933874607086,-63.08478927612305,3877.91943359375,72.12721252441406,1474.2757568359375,6.258970260620117,695.2897338867188,32.5623664855957,339.7709045410156,5.268735408782959,163.28713989257812,15.168892860412598,166.1873321533203,-0.5217819809913635,124.17637634277344,12.727404594421387,105.09306335449219,-6.222353935241699,98.99380493164062,12.335578918457031,97.05970764160156,-8.313179016113281,60.557220458984375,8.445191383361816,61.30638122558594,-6.410738468170166,74.9805908203125,7.056024074554443,56.44426727294922,-5.644852638244629,53.0701789855957,9.02444839477539,53.48823928833008,-4.2912702560424805,59.579647064208984,7.867361545562744,65.67916870117188,-4.158461093902588,63.92431640625,10.410429954528809,74.36457824707031
16,Anastacia,I'm Outta Love - Radio Edit,245400,False,1999,64,0.761,0.716,10,-5.8,0,0.056,0.396,0.0,0.0771,0.649,119.41,pop,4414.156641532024,1961473.3395175221,2268.961081637786,172238.32876827574,2162.0806931180664,496753.84396660695,0.23928134143352509,0.00681442441418767,3.918696165783331e-06,0.025365276262164116,8.792150765657425e-06,0.020104145631194115,0.0991504157218443,0.08931961078402975,13.621231079101562,7842.40625,0.4139597713947296,0.08893557637929916,-50.149871826171875,5123.08203125,97.04986572265625,972.5135498046875,-6.168105602264404,502.9930725097656,39.296546936035156,276.896240234375,-1.4389835596084595,161.62069702148438,11.66599178314209,194.74290466308594,6.6150803565979,162.5336456298828,7.084956169128418,113.71605682373047,-0.1711294800043106,89.54765319824219,9.432342529296875,91.38589477539062,-8.424107551574707,78.61195373535156,7.821047782897949,82.02556610107422,-6.8113532066345215,77.00109100341797,7.6082048416137695,74.47325134277344,-7.853336334228516,76.19269561767578,7.602182388305664,78.22513580322266,-7.1809163093566895,63.145790100097656,4.878575325012207,61.427642822265625,-6.5418243408203125,65.60819244384766,3.336085319519043,63.95030212402344
17,Alice Deejay,Better Off Alone,214883,False,2000,73,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop,4955.840866041626,2161565.411161857,2472.7653755567185,128254.70315656925,2159.129007341711,327331.747518564,0.06842919439077377,0.0006563542410731316,-2.223273668278125e-06,0.002817237051203847,-3.661811933852732e-05,0.0011491361074149609,0.08448450491307634,0.07734687334266874,1.2245290279388428,82.29350280761719,0.4034964442253113,0.09350436925888062,-177.2234649658203,2101.9921875,96.83710479736328,435.91302490234375,3.1996896266937256,249.3888397216797,20.917200088500977,121.10073852539062,-7.42352294921875,96.38602447509766,8.923476219177246,71.06330108642578,-3.4959309101104736,84.08512878417969,12.967677116394043,76.20538330078125,-9.364087104797363,77.29137420654297,9.662029266357422,67.77374267578125,-6.685932159423828,67.92105102539062,10.31511116027832,70.44429779052734,-5.270884037017822,72.63162994384766,7.425729751586914,62.9537467956543,-3.7126071453094482,98.74418640136719,12.161361694335938,103.58810424804688,-0.15563586354255676,96.79511260986328,8.339025497436523,90.1356430053711,-7.026369571685791,86.44401550292969,5.309150218963623,75.34741973876953
18,Gigi D'Agostino,The Riddle,285426,False,1999,64,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop,4592.897227378821,3567627.2552811466,2445.574835023048,204074.88938647322,2013.3101877291513,529165.5164128188,0.21101945638656616,0.003444398520514369,1.7309501345152967e-05,0.03032252937555313,2.1729327272623777e-05,0.00818474031984806,0.06553741496598639,0.061242262205562496,11.096693992614746,7534.06103515625,0.4248184561729431,0.08659166842699051,-90.68683624267578,2503.484375,102.17269897460938,682.538818359375,8.6709566116333,278.0220642089844,24.33856773376465,165.6527862548828,2.7084991931915283,197.53062438964844,17.489728927612305,180.51708984375,0.19033341109752655,74.94151306152344,13.612159729003906,71.67648315429688,-8.756867408752441,119.17037200927734,18.25002670288086,86.02745056152344,-1.919852375984192,79.85594177246094,9.111015319824219,63.17194747924805,-5.258689880371094,88.16063690185547,4.938133239746094,65.66173553466797,-5.39459228515625,60.76105499267578,8.394706726074219,54.98784637451172,-8.12696361541748,54.35673141479492,5.933707237243652,47.159461975097656,-4.401227951049805,50.62419509887695,3.5922632217407227,66.9636001586914
19,Dr. Dre,The Next Episode,161506,True,1999,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,hip hop,5338.19688732041,3710592.603983083,2532.228742642695,269411.3294422441,2395.994467352808,966504.3227828136,0.28150445222854614,0.017429260537028313,-0.00014912830374669284,0.030539322644472122,0.00013392933760769665,0.03685056045651436,0.1131859410430839,0.10037488379327544,21.588163375854492,22368.220703125,0.4815395772457123,0.0832042396068573,-52.28009033203125,4975.66845703125,85.78253173828125,1707.9080810546875,9.252287864685059,685.8214721679688,37.9451904296875,635.7442016601562,6.28339147567749,379.2447204589844,13.6425142288208,231.50108337402344,-10.517581939697266,212.68406677246094,14.995176315307617,116.79617309570312,-6.482928276062012,155.194091796875,8.379417419433594,101.76161193847656,-4.5761494636535645,85.9850082397461,6.73981237411499,73.02648162841797,-5.207887649536133,63.9490852355957,4.324563980102539,56.95161437988281,-4.628857612609863,62.16325378417969,3.8650941848754883,58.20146179199219,-4.995418548583984,52.79827880859375,4.493741512298584,47.94235610961914,-4.202462196350098,54.837074279785156,0.7173548340797424,40.40632629394531
20,Linkin Park,In the End,216880,False,2000,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,"rock, metal",4671.917582886876,1239070.1310733138,2273.5206218984426,94696.77781552546,2362.264308655399,280127.51223631384,0.30858713388442993,0.003973573911935091,2.2522235667565838e-06,0.04203851521015167,0.00029100803658366203,0.023772334679961205,0.12436583522297807,0.10889897425226913,20.096939086914062,8460.3447265625,0.450130820274353,0.07979653775691986,25.10403823852539,1297.573486328125,92.21208953857422,511.4397277832031,-27.63471794128418,283.0015869140625,29.05695152282715,201.32139587402344,-1.631257176399231,144.4749755859375,12.82714557647705,85.09488677978516,-4.815940856933594,90.73882293701172,15.079029083251953,73.7292251586914,0.31425145268440247,59.59712600708008,12.919281005859375,55.87373733520508,-1.4431573152542114,51.881553649902344,10.548784255981445,42.623146057128906,-5.149158954620361,36.68736267089844,6.1994476318359375,42.65393829345703,-6.526801109313965,38.70758056640625,7.6735334396362305,36.48828887939453,-6.566671371459961,35.30857467651367,6.21793794631958,31.46896743774414,-5.454151630401611,32.0555419921875,6.9927754402160645,38.65056228637695
21,Tom Jones,Sexbomb,211893,False,1999,65,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening",5684.615625907024,827810.434490176,2530.435461104058,53877.38934943682,2707.912750836897,390509.1662189185,0.21209490299224854,0.003719002939760685,2.301097907775329e-07,0.020647091791033745,-4.4651828829955775e-06,0.0139413857832551,0.13279591836734694,0.1151611624323199,10.021332740783691,2444.970703125,0.41013026237487793,0.08420883864164352,-20.263708114624023,2059.559814453125,80.38072204589844,458.01025390625,-5.34467077255249,323.59967041015625,28.53773307800293,190.4405517578125,-13.035662651062012,172.25413513183594,21.7111759185791,80.86884307861328,-8.158981323242188,92.01922607421875,12.979992866516113,76.85919189453125,-5.848214626312256,69.73543548583984,10.105732917785645,58.975624084472656,-7.765395164489746,62.6559944152832,6.11781644821167,46.042335510253906,-4.909851551055908,50.72557067871094,4.922208786010742,38.18221664428711,-6.245613098144531,36.95772171020508,8.749615669250488,38.004146575927734,-4.191895484924316,34.702266693115234,3.334946632385254,38.516056060791016,-4.692607879638672,35.334964752197266,5.393631458282471,33.98713684082031
22,Sonique,It Feels So Good,240866,False,2000,62,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop,5995.451246326553,1744140.0450997257,2676.7519023976556,107790.551347868,2679.4660473506933,682988.1687364742,0.2101326584815979,0.013331673108041286,-2.995966042362852e-06,0.04049431532621384,-6.203536759130657e-05,0.006801948416978121,0.11646636432350718,0.10290195030477126,13.025940895080566,8985.9306640625,0.38604599237442017,0.08415454626083374,-79.90153503417969,5540.783203125,78.06917572021484,808.1932373046875,6.648404121398926,608.9754028320312,16.84151268005371,294.0192565917969,-11.265546798706055,146.8209686279297,23.8597412109375,101.93896484375,-4.484029769897461,132.24563598632812,14.095857620239258,91.59679412841797,-9.021851539611816,70.06581115722656,14.098649024963379,99.27666473388672,-10.1839599609375,59.12998962402344,9.020217895507812,84.17504119873047,-5.866556167602539,62.4998893737793,8.072074890136719,63.52935028076172,-4.614903450012207,71.43675994873047,9.393159866333008,87.73319244384766,-3.259268283843994,68.20609283447266,6.8877973556518555,93.02141571044922,-4.186315536499023,72.30433654785156,4.7392988204956055,64.37052917480469
